[  447.005338] + fortune: init
[  476.952046] + fortune: write, f_pos=0, count=5
[  490.336183] + fortune: write, f_pos=0, count=5
[  496.516112] + fortune: read, f_pos=0, count=131072
[  496.516118] + fortune: read, PID = 2062, taks->pid = 2351
[  496.516217] + fortune: read, f_pos=298, count=131072
[  578.386091]  + module is loaded.
[  578.386592] +pid=   49, comm=    ksoftirqd/7, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  120, state=    1, exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[  578.386602] +pid=   51, comm=   kworker/7:0H, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  100, state= 1026, exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [WQ_WORKER FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[  578.386614] +pid=   52, comm=        cpuhp/8, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  120, state=    1, exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[  578.386624] +pid=   53, comm=    migration/8, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=1, prio=    0, state=    1, exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime= 100000000 flags: [FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[  578.386635] +pid=   54, comm=    ksoftirqd/8, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  120, state=    1, exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[  578.386646] +pid=   55, comm=    kworker/8:0, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  120, state= 1026, exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [WQ_WORKER FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[  578.386658] +pid=   56, comm=   kworker/8:0H, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  100, state= 1026, exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [WQ_WORKER FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[  578.386670] +pid=   57, comm=        cpuhp/9, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  120, state=    1, exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[  578.386681] +pid=   58, comm=    migration/9, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=1, prio=    0, state=    1, exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime= 100000000 flags: [FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[  578.386691] +pid=   59, comm=    ksoftirqd/9, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  120, state=    1, exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[  578.386702] +pid=   60, comm=    kworker/9:0, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  120, state= 1026, exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [WQ_WORKER FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
